ID,Address,Beds,Bath,Area,Date,Action,Amount,Rate_sqft,Source
0,455-N-19th-St_San-Jose_CA_95112_M28836-86707,2bed,1bath,986sqft,10-10-2020,Listed,"$799,998",$811,MLSListings
1,455-N-19th-St_San-Jose_CA_95112_M28836-86707,2bed,1bath,986sqft,08-03-2007,Sold,"$500,000",$507,Public Record
2,455-N-19th-St_San-Jose_CA_95112_M28836-86707,2bed,1bath,986sqft,07/20/2006,Sold,"$550,000",$557,Public Record
3,455-N-19th-St_San-Jose_CA_95112_M28836-86707,2bed,1bath,986sqft,08/26/1994,Sold,"$162,000",$164,Public Record
4,455-N-19th-St_San-Jose_CA_95112_M28836-86707,2bed,1bath,986sqft,10-10-2020,Listed,"$799,998",$811,MLSListings
5,455-N-19th-St_San-Jose_CA_95112_M28836-86707,2bed,1bath,986sqft,08-03-2007,Sold,"$500,000",$507,Public Record
6,455-N-19th-St_San-Jose_CA_95112_M28836-86707,2bed,1bath,986sqft,07/20/2006,Sold,"$550,000",$557,Public Record
7,455-N-19th-St_San-Jose_CA_95112_M28836-86707,2bed,1bath,986sqft,08/26/1994,Sold,"$162,000",$164,Public Record
8,San-Jose_CA_95131_M21396-00782,4bed,2bath,"1,168sqft",10-10-2020,Listed,"$898,000",$768,MLSListings
9,San-Jose_CA_95131_M21396-00782,4bed,2bath,"1,168sqft",10-10-2020,Listed,"$898,000",$768,MLSListings
10,45-Hobson-St-Apt-10A_San-Jose_CA_95110_M18759-86580,2bed,1bath,907sqft,10-08-2020,Listed,"$608,888",$671,MLSListings
11,45-Hobson-St-Apt-10A_San-Jose_CA_95110_M18759-86580,2bed,1bath,907sqft,11/16/2018,Sold,"$600,000",$661,SanDiegoCountySPN
12,45-Hobson-St-Apt-10A_San-Jose_CA_95110_M18759-86580,2bed,1bath,907sqft,10-09-2018,Listed,"$599,000",$660,MLSListings
13,45-Hobson-St-Apt-10A_San-Jose_CA_95110_M18759-86580,2bed,1bath,907sqft,04/28/2017,Sold,"$650,000",$716,MLSListings
14,45-Hobson-St-Apt-10A_San-Jose_CA_95110_M18759-86580,2bed,1bath,907sqft,03-08-2017,Listed,"$499,000",$550,MLSListings
