ID,Confirmed,Deaths,Recovered,FIPS,County,Province_State,Country_Region,Last_Update,Last_Update_Time,Lat,Long_,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
7714,407,5,0,6037,Los Angeles,California,US,22-03-2020,23:45,34.30828379,-118.2282411,0,"Los Angeles, California, US",,
7715,263,8,0,6085,Santa Clara,California,US,22-03-2020,23:45,37.23104908,-121.6970462,0,"Santa Clara, California, US",,
7716,155,0,0,6073,San Diego,California,US,22-03-2020,23:45,33.03484597,-116.7365326,0,"San Diego, California, US",,
7717,117,1,0,6081,San Mateo,California,US,22-03-2020,23:45,37.4228808,-122.3275546,0,"San Mateo, California, US",,
7718,108,0,0,6075,San Francisco,California,US,22-03-2020,23:45,37.75215114,-122.4385672,0,"San Francisco, California, US",,
7719,95,0,0,6059,Orange,California,US,22-03-2020,23:45,33.70147516,-117.7645998,0,"Orange, California, US",,
7720,71,0,0,6001,Alameda,California,US,22-03-2020,23:45,37.64629437,-121.8929271,0,"Alameda, California, US",,
7721,61,1,0,6013,Contra Costa,California,US,22-03-2020,23:45,37.91923498,-121.9289527,0,"Contra Costa, California, US",,
7722,53,3,0,6067,Sacramento,California,US,22-03-2020,23:45,38.45106826,-121.3425374,0,"Sacramento, California, US",,
7723,38,0,0,6041,Marin,California,US,22-03-2020,23:45,38.07122463,-122.7210631,0,"Marin, California, US",,
7724,31,2,0,6077,San Joaquin,California,US,22-03-2020,23:45,37.93433732,-121.2730061,0,"San Joaquin, California, US",,
7725,29,6,0,6065,Riverside,California,US,22-03-2020,23:45,33.74314981,-115.9933578,0,"Riverside, California, US",,
7726,27,0,0,6079,San Luis Obispo,California,US,22-03-2020,23:45,35.38822029,-120.4039028,0,"San Luis Obispo, California, US",,
7727,25,0,0,6111,Ventura,California,US,22-03-2020,23:45,34.44465746,-119.0910613,0,"Ventura, California, US",,
7728,22,1,0,6097,Sonoma,California,US,22-03-2020,23:45,38.52746429,-122.8862506,0,"Sonoma, California, US",,
7729,17,0,0,6071,San Bernardino,California,US,22-03-2020,23:45,34.84060306,-116.1774685,0,"San Bernardino, California, US",,
7730,15,0,0,6087,Santa Cruz,California,US,22-03-2020,23:45,37.05580291,-122.0066524,0,"Santa Cruz, California, US",,
7731,13,0,0,6095,Solano,California,US,22-03-2020,23:45,38.26827353,-121.9357113,0,"Solano, California, US",,
7732,13,0,0,6083,Santa Barbara,California,US,22-03-2020,23:45,34.65329488,-120.0188492,0,"Santa Barbara, California, US",,
7733,12,1,0,6061,Placer,California,US,22-03-2020,23:45,39.06167234,-120.7240569,0,"Placer, California, US",,
7734,12,0,0,6107,Tulare,California,US,22-03-2020,23:45,36.22026558,-118.8020203,0,"Tulare, California, US",,
7735,11,1,0,6053,Monterey,California,US,22-03-2020,23:45,36.21862405,-121.2413397,0,"Monterey, California, US",,
7736,6,0,0,6113,Yolo,California,US,22-03-2020,23:45,38.68278902,-121.9018288,0,"Yolo, California, US",,
7737,6,0,0,6019,Fresno,California,US,22-03-2020,23:45,36.75733899,-119.6466953,0,"Fresno, California, US",,
7738,6,0,0,6025,Imperial,California,US,22-03-2020,23:45,33.0393082,-115.3669042,0,"Imperial, California, US",,
7739,5,1,0,6069,San Benito,California,US,22-03-2020,23:45,36.60308176,-121.069975,0,"San Benito, California, US",,
7740,5,0,0,6099,Stanislaus,California,US,22-03-2020,23:45,37.55862499,-120.9970722,0,"Stanislaus, California, US",,
7741,5,0,0,6029,Kern,California,US,22-03-2020,23:45,35.34329425,-118.7277796,0,"Kern, California, US",,
7742,3,0,0,6039,Madera,California,US,22-03-2020,23:45,37.21513971,-119.7665589,0,"Madera, California, US",,
7743,2,0,0,6023,Humboldt,California,US,22-03-2020,23:45,40.69923009,-123.876044,0,"Humboldt, California, US",,
7744,2,0,0,6009,Calaveras,California,US,22-03-2020,23:45,38.20537103,-120.552913,0,"Calaveras, California, US",,
7745,2,0,0,6093,Siskiyou,California,US,22-03-2020,23:45,41.59198861,-122.5407434,0,"Siskiyou, California, US",,
7746,2,0,0,6115,Yuba,California,US,22-03-2020,23:45,39.26255932,-121.3535644,0,"Yuba, California, US",,
7747,1,0,0,6089,Shasta,California,US,22-03-2020,23:45,40.76391419,-122.0396884,0,"Shasta, California, US",,
7748,1,0,0,6057,Nevada,California,US,22-03-2020,23:45,39.30394768,-120.7627281,0,"Nevada, California, US",,
7749,1,0,0,6045,Mendocino,California,US,22-03-2020,23:45,39.4381191,-123.3911313,0,"Mendocino, California, US",,
7750,1,0,0,6005,Amador,California,US,22-03-2020,23:45,38.44583082,-120.65696,0,"Amador, California, US",,
7751,1,0,0,6051,Mono,California,US,22-03-2020,23:45,37.93899289,-118.8872409,0,"Mono, California, US",,
7752,1,0,0,6007,Butte,California,US,22-03-2020,23:45,39.66727762,-121.6005252,0,"Butte, California, US",,
