Zip_Code,Type,Common Cities,County,Lat,Long,City,Timezone,Daylight_savings_time_flag
90001,Standard,"Los Angeles, Firestone Park, Firestone Pk",Los Angeles,33.972914,-118.24878,Los Angeles,-8,1
90002,Standard,"Los Angeles, August F. Haw, Watts",Los Angeles,33.948315,-118.24845,Los Angeles,-8,1
90003,Standard,Los Angeles,Los Angeles,33.962714,-118.276,Los Angeles,-8,1
90004,Standard,"Los Angeles, Oakwood",Los Angeles,34.07711,-118.30755,Los Angeles,-8,1
90005,Standard,"Los Angeles, Sanford",Los Angeles,34.058911,-118.30848,Los Angeles,-8,1
90006,Standard,Los Angeles,Los Angeles,34.048351,-118.2943,Los Angeles,-8,1
90007,Standard,"Los Angeles, Dockweiler",Los Angeles,34.026448,-118.2829,Los Angeles,-8,1
90008,Standard,"Los Angeles, Baldwin Hills, Leimert Park",Los Angeles,34.009754,-118.33705,Los Angeles,-8,1
90009,PO Box,"Los Angeles, Los Angeles Afb, Los Angls Afb",Los Angeles,33.786594,-118.298662,Los Angeles,-8,1
90010,Standard,Los Angeles,Los Angeles,34.062709,-118.31481,Los Angeles,-8,1
90011,Standard,Los Angeles,Los Angeles,34.007063,-118.25868,Los Angeles,-8,1
90012,Standard,Los Angeles,Los Angeles,34.061611,-118.23944,Los Angeles,-8,1
90013,Standard,Los Angeles,Los Angeles,34.044662,-118.24255,Los Angeles,-8,1
90014,Standard,Los Angeles,Los Angeles,34.042912,-118.25193,Los Angeles,-8,1
90015,Standard,Los Angeles,Los Angeles,34.038993,-118.26516,Los Angeles,-8,1
90016,Standard,Los Angeles,Los Angeles,34.029711,-118.35255,Los Angeles,-8,1
90017,Standard,Los Angeles,Los Angeles,34.052561,-118.26434,Los Angeles,-8,1
90018,Standard,Los Angeles,Los Angeles,34.029112,-118.3183,Los Angeles,-8,1
90019,Standard,Los Angeles,Los Angeles,34.048411,-118.34015,Los Angeles,-8,1
90020,Standard,Los Angeles,Los Angeles,34.06646,-118.30863,Los Angeles,-8,1
90021,Standard,Los Angeles,Los Angeles,34.029313,-118.24182,Los Angeles,-8,1
90022,Standard,"Los Angeles, Commerce, East Los Angeles, Est Ls Angls",Los Angeles,34.023662,-118.15581,Los Angeles,-8,1
90023,Standard,"Los Angeles, Commerce",Los Angeles,34.023039,-118.20231,Los Angeles,-8,1
90024,Standard,Los Angeles,Los Angeles,34.063209,-118.43643,Los Angeles,-8,1
90025,Standard,"Los Angeles, W Los Angeles, West Los Angeles",Los Angeles,34.045006,-118.44527,Los Angeles,-8,1
90026,Standard,Los Angeles,Los Angeles,34.07851,-118.26596,Los Angeles,-8,1
90027,Standard,Los Angeles,Los Angeles,34.111208,-118.28842,Los Angeles,-8,1
90028,Standard,"Los Angeles, Hollywood",Los Angeles,34.098859,-118.32745,Los Angeles,-8,1
90029,Standard,Los Angeles,Los Angeles,34.090259,-118.29455,Los Angeles,-8,1
90030,PO Box,Los Angeles,Los Angeles,33.786594,-118.298662,Los Angeles,-8,1
90031,Standard,"Los Angeles, Lincoln Heights, Lincoln Hts",Los Angeles,34.07871,-118.2161,Los Angeles,-8,1
90032,Standard,Los Angeles,Los Angeles,34.08166,-118.17568,Los Angeles,-8,1
90033,Standard,Los Angeles,Los Angeles,34.050411,-118.21195,Los Angeles,-8,1
90034,Standard,Los Angeles,Los Angeles,34.03056,-118.39804,Los Angeles,-8,1
90035,Standard,Los Angeles,Los Angeles,34.05266,-118.38531,Los Angeles,-8,1
90036,Standard,Los Angeles,Los Angeles,34.07036,-118.34926,Los Angeles,-8,1
90037,Standard,Los Angeles,Los Angeles,34.002063,-118.28737,Los Angeles,-8,1
90038,Standard,"Los Angeles, W Hollywood, West Hollywood",Los Angeles,34.089459,-118.3285,Los Angeles,-8,1
90039,Standard,Los Angeles,Los Angeles,34.110425,-118.25832,Los Angeles,-8,1
90040,Standard,"Los Angeles, Commerce, Cty Of Cmmrce",Los Angeles,33.997492,-118.15284,Los Angeles,-8,1
90041,Standard,"Los Angeles, Eagle Rock",Los Angeles,34.137557,-118.20765,Los Angeles,-8,1
90042,Standard,"Los Angeles, Highland Park",Los Angeles,34.114558,-118.19233,Los Angeles,-8,1
90043,Standard,"Los Angeles, View Park, Windsor Hills",Los Angeles,33.987463,-118.334,Los Angeles,-8,1
90044,Standard,"Los Angeles, August F. Haw",Los Angeles,33.953814,-118.29158,Los Angeles,-8,1
90045,Standard,"Los Angeles, Westchester",Los Angeles,33.960041,-118.3949,Los Angeles,-8,1
90046,Standard,"Los Angeles, W Hollywood, West Hollywood",Los Angeles,34.098908,-118.36241,Los Angeles,-8,1
90047,Standard,Los Angeles,Los Angeles,33.958464,-118.30998,Los Angeles,-8,1
90048,Standard,"Los Angeles, W Hollywood, West Hollywood",Los Angeles,34.073759,-118.37376,Los Angeles,-8,1
90049,Standard,Los Angeles,Los Angeles,34.067409,-118.47528,Los Angeles,-8,1
90050,PO Box,Los Angeles,Los Angeles,33.786594,-118.298662,Los Angeles,-8,1
90051,PO Box,"Los Angeles, August F. Haw",Los Angeles,33.786594,-118.298662,Los Angeles,-8,1
90052,PO Box,Los Angeles,Los Angeles,33.786594,-118.298662,Los Angeles,-8,1
90053,PO Box,Los Angeles,Los Angeles,33.786594,-118.298662,Los Angeles,-8,1
90054,PO Box,Los Angeles,Los Angeles,33.786594,-118.298662,Los Angeles,-8,1
90055,PO Box,Los Angeles,Los Angeles,33.786594,-118.298662,Los Angeles,-8,1
90056,Standard,"Los Angeles, Baldwin Hills, Windsor Hills",Los Angeles,33.986212,-118.37099,Los Angeles,-8,1
90057,Standard,Los Angeles,Los Angeles,34.061911,-118.27687,Los Angeles,-8,1
90058,Standard,"Los Angeles, Vernon",Los Angeles,34.000219,-118.22605,Los Angeles,-8,1
90059,Standard,"Los Angeles, August F. Haw",Los Angeles,33.927471,-118.24778,Los Angeles,-8,1
90060,PO Box,Los Angeles,Los Angeles,33.786594,-118.298662,Los Angeles,-8,1
90061,Standard,"Los Angeles, August F. Haw",Los Angeles,33.923365,-118.27591,Los Angeles,-8,1
90062,Standard,Los Angeles,Los Angeles,34.003213,-118.3078,Los Angeles,-8,1
90063,Standard,"Los Angeles, Hazard",Los Angeles,34.045161,-118.1865,Los Angeles,-8,1
90064,Standard,"Los Angeles, Rancho Park",Los Angeles,34.03457,-118.42843,Los Angeles,-8,1
90065,Standard,"Los Angeles, Glassell, Glassell Park",Los Angeles,34.107559,-118.22663,Los Angeles,-8,1
90066,Standard,Los Angeles,Los Angeles,34.002011,-118.43083,Los Angeles,-8,1
90067,Standard,"Los Angeles, Century City",Los Angeles,34.056709,-118.41183,Los Angeles,-8,1
90068,Standard,"Los Angeles, Hollywood",Los Angeles,34.122058,-118.3379,Los Angeles,-8,1
90069,Standard,"West Hollywood, Los Angeles, W Hollywood",Los Angeles,34.090975,-118.3813,West Hollywood,-8,1
90070,PO Box,Los Angeles,Los Angeles,33.786594,-118.298662,Los Angeles,-8,1
